x,y,z,Seconds,Microseconds,,,
,,,,,,,
255,6,3,0,0,,,
,,,,,,,
22,20,207,0,0,,,
,,,,,,,
10,21,205,0,0,,,
,,,,,,,
0,0,0,0,0,,,
,,,,,,,
0,0,0,0,16000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,63000,,,
,,,,,,,
0,0,0,0,63000,,,
,,,,,,,
0,0,0,0,67000,,,
,,,,,,,
0,0,0,0,71000,,,
,,,,,,,
0,0,0,0,71000,,,
,,,,,,,
0,0,0,0,75000,,,
,,,,,,,
0,0,0,0,79000,,,
,,,,,,,
0,0,0,0,79000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,100000,,,
,,,,,,,
240,157,127,0,100000,,,
,,,,,,,
0,0,0,0,100000,,,
,,,,,,,
0,0,0,0,100000,,,
,,,,,,,
0,0,0,0,100000,,,
,,,,,,,
0,0,0,0,100000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
2,209,127,0,147000,,,
,,,,,,,
0,0,0,0,147000,,,
,,,,,,,
0,0,0,0,147000,,,
,,,,,,,
0,0,0,0,147000,,,
,,,,,,,
0,0,0,0,147000,,,
,,,,,,,
0,0,0,0,147000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
43,239,113,0,178000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,210000,,,
,,,,,,,
