x,y,z,Seconds,Microseconds,,,,
,,,,,,,,
255,6,3,0,0,,,,
,,,,,,,,
60,215,127,0,0,,,,
,,,,,,,,
0,0,0,0,0,,,,
,,,,,,,,
0,0,0,0,15000,,,,
,,,,,,,,
0,0,0,0,15000,,,,
,,,,,,,,
0,0,0,0,15000,,,,
,,,,,,,,
0,0,0,0,15000,,,,
,,,,,,,,
0,0,0,0,15000,,,,
,,,,,,,,
0,0,0,0,15000,,,,
,,,,,,,,
0,0,0,0,31000,,,,
,,,,,,,,
0,0,0,0,31000,,,,
,,,,,,,,
0,0,0,0,31000,,,,
,,,,,,,,
0,0,0,0,31000,,,,
,,,,,,,,
91,214,127,0,31000,,,,
,,,,,,,,
0,0,0,0,31000,,,,
,,,,,,,,
0,0,0,0,46000,,,,
,,,,,,,,
0,0,0,0,46000,,,,
,,,,,,,,
0,0,0,0,46000,,,,
,,,,,,,,
0,0,0,0,46000,,,,
,,,,,,,,
0,0,0,0,46000,,,,
,,,,,,,,
0,0,0,0,46000,,,,
,,,,,,,,
0,0,0,0,62000,,,,
,,,,,,,,
0,0,0,0,62000,,,,
,,,,,,,,
0,0,0,0,62000,,,,
,,,,,,,,
0,0,0,0,62000,,,,
,,,,,,,,
0,0,0,0,62000,,,,
,,,,,,,,
0,0,0,0,62000,,,,
,,,,,,,,
0,0,0,0,78000,,,,
,,,,,,,,
0,0,0,0,78000,,,,
,,,,,,,,
0,0,0,0,78000,,,,
,,,,,,,,
0,0,0,0,78000,,,,
,,,,,,,,
59,234,103,0,78000,,,,
,,,,,,,,
0,0,0,0,78000,,,,
,,,,,,,,
0,0,0,0,93000,,,,
,,,,,,,,
0,0,0,0,93000,,,,
,,,,,,,,
0,0,0,0,93000,,,,
,,,,,,,,
0,0,0,0,93000,,,,
,,,,,,,,
0,0,0,0,93000,,,,
,,,,,,,,
0,0,0,0,93000,,,,
,,,,,,,,
0,0,0,0,109000,,,,
,,,,,,,,
0,0,0,0,109000,,,,
,,,,,,,,
0,0,0,0,109000,,,,
,,,,,,,,
0,0,0,0,109000,,,,
,,,,,,,,
0,0,0,0,109000,,,,
,,,,,,,,
0,0,0,0,125000,,,,
,,,,,,,,
0,0,0,0,125000,,,,
,,,,,,,,
0,0,0,0,125000,,,,
,,,,,,,,
0,0,0,0,125000,,,,
,,,,,,,,
19,246,61,0,125000,,,,
,,,,,,,,
0,0,0,0,125000,,,,
,,,,,,,,
0,0,0,0,140000,,,,
,,,,,,,,
0,0,0,0,140000,,,,
,,,,,,,,
0,0,0,0,140000,,,,
,,,,,,,,
0,0,0,0,140000,,,,
,,,,,,,,
0,0,0,0,140000,,,,
,,,,,,,,
0,0,0,0,156000,,,,
,,,,,,,,
0,0,0,0,156000,,,,
,,,,,,,,
0,0,0,0,156000,,,,
,,,,,,,,
0,0,0,0,156000,,,,
,,,,,,,,
0,0,0,0,156000,,,,
,,,,,,,,
0,0,0,0,156000,,,,
,,,,,,,,
0,0,0,0,171000,,,,
,,,,,,,,
0,0,0,0,171000,,,,
,,,,,,,,
0,0,0,0,171000,,,,
,,,,,,,,
237,4,246,0,171000,,,,
,,,,,,,,
0,0,0,0,171000,,,,
,,,,,,,,
0,0,0,0,171000,,,,
,,,,,,,,
0,0,0,0,187000,,,,
,,,,,,,,
0,0,0,0,187000,,,,
,,,,,,,,
0,0,0,0,187000,,,,
,,,,,,,,
0,0,0,0,187000,,,,
